Sr. No,Sample ID,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
250,SSBS/W/2021/250,16-12-2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
251,SSBS/W/2021/251,17-12-2021,"Rahatani, New DP road",Genepath,33,37,32,Positive
252,SSBS/W/2021/252,17-12-2021,"Kalewadi, Adarsh Nagar",Genepath,32,35,33,Positive
253,SSBS/W/2021/253,17-12-2021,Wolf Colony Pimpri,Genepath,0,0,0,Negative
254,SSBS/W/2021/254,17-12-2021,Dapodi Sai Service,Genepath,35,36,35,Positive
255,SSBS/W/2021/255,17-12-2021,"Dapodi, Harris Bridge",Genepath,0,0,0,Negative
256,SSBS/W/2021/256,20-12-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,34.61,34.82,37.43,Positive
257,SSBS/W/2021/257,20-12-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,34.46,32.82,36.02,Positive
258,SSBS/W/2021/258,20-12-2021,"Sanjeevan Hospital, Kothrud",Genepath,36.35,34.9,0,Positive
259,SSBS/W/2021/259,20-12-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
260,SSBS/W/2021/260,20-12-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,35.57,33.31,37.03,Positive
261,SSBS/W/2021/261,20-12-2021,"Bus Depot (main), Kothrud",Genepath,35.9,35.46,37.95,Positive
262,SSBS/W/2021/262,21-12-2021,"DP road, Botanical Garden, Aundh",Genepath,35.06,32.32,35.8,Positive
263,SSBS/W/2021/263,21-12-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
264,SSBS/W/2021/264,21-12-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
265,SSBS/W/2021/265,21-12-2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
266,SSBS/W/2021/266,21-12-2021,"Balewadi Phata, Baner",Genepath,37.88,34.2,36.5,Positive
267,SSBS/W/2021/267,21-12-2021,"Mahalunge Road, Baner",Genepath,33.69,33.58,35.56,Positive
268,SSBS/W/2021/268,22-12-2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
269,SSBS/W/2021/269,22-12-2021,Vitthalwadi-Hingne,Genepath,34.18,34.62,36.92,Positive
270,SSBS/W/2021/270,22-12-2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,33.77,33.18,36.31,Positive
271,SSBS/W/2021/271,22-12-2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
272,SSBS/W/2021/272,22-12-2021,"RTO Office, Alandi road, Yerwada",Genepath,34.91,36.05,38.25,Positive
273,SSBS/W/2021/273,22-12-2021,"Shantinagar, Vishrantwadi",Genepath,35.27,34.36,36.68,Positive
274,SSBS/W/2021/274,23-12-2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
275,SSBS/W/2021/275,23-12-2021,"Shastri Nagar, Pimpri",Genepath,34.21,33.85,0,Positive
276,SSBS/W/2021/276,23-12-2021,"Kasarwadi, Pimple gurav road",Genepath,35.75,32.23,36.94,Positive
277,SSBS/W/2021/277,23-12-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
278,SSBS/W/2021/278,23-12-2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
279,SSBS/W/2021/279,24-12-2021,"Rahatani, New DP road",Genepath,0,0,0,Negative
280,SSBS/W/2021/280,24-12-2021,"Kalewadi, Adarsh Nagar",Genepath,32.8,37.2,35.4,Positive
281,SSBS/W/2021/281,24-12-2021,"Pimpri, shastri nagar",Genepath,35.1,0,37,Positive
282,SSBS/W/2021/282,24-12-2021,"Dapodi, Sai service",Genepath,0,0,0,
283,SSBS/W/2021/283,24-12-2021,Dapodi Harris Bridge,Genepath,35.9,37.3,36.3,Positive
284,SSBS/W/2021/284,27-12-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
285,SSBS/W/2021/285,24-12-2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
286,SSBS/W/2021/286,24-12-2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
287,SSBS/W/2021/287,24-12-2021,"Someshwarwadi, Pashan an",Genepath,0,0,0,Negative
288,SSBS/W/2021/288,24-12-2021,"Jai Bhavani Nagar,",Genepath,0,0,0,Negative
289,SSBS/W/2021/289,28-12-2021,"Shivajinagar, Vaidhwadi",Genepath,34.3,37.4,36.3,Positive
290,SSBS/W/2021/290,28-12-2021,"Shivajinagar,Chatturshringi",Genepath,32.82,37.5,35.1,Positive
291,SSBS/W/2021/291,28-12-2021,Kothrud Sanjeevan hospital,Genepath,31.7,36.3,34.8,Positive
292,SSBS/W/2021/292,28-12-2021,Kothrud karve road,Genepath,0,0,0,Negative
293,SSBS/W/2021/293,28-12-2021,Warje,Genepath,31.2,35.1,34.1,Positive
294,SSBS/W/2021/294,28-12-2021,"Bus Depot (main), Kothrud",Genepath,31.7,35.4,34,Positive
295,SSBS/W/2021/295,29-12-2021,"Dattawadi, Rajaram Bridge",Genepath,32.7,37,34.9,Positive
296,SSBS/W/2021/296,29-12-2021,"Vitthalwadi-Hingne Shantinagar,",Genepath,32.8,36.5,34.8,Positive
297,SSBS/W/2021/297,29-12-2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,30.7,34.8,33,Positive
298,SSBS/W/2021/298,29-12-2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
299,SSBS/W/2021/299,29-12-2021,"RTO Office, Alandi road, Yerwada",Genepath,30.6,35.1,33.4,Positive
300,SSBS/W/2021/300,29-12-2021,"Vishrantwadi Pimple Gurav,",Genepath,31.6,35.6,34.3,Positive
301,SSBS/W/2021/301,30-12-2021,"Aditya Birla Hospital Road,",Genepath,0,0,0,Negative
302,SSBS/W/2021/302,30-12-2021,"Shastri Nagar, Pimpri",Genepath,32.3,35.1,33.5,Positive
303,SSBS/W/2021/303,30-12-2021,"Kasarwadi, Pimple gurav road",Genepath,33.2,37.1,35.1,Positive
304,SSBS/W/2021/304,30-12-2021,"60-feet road, Pimple Gurav",Genepath,29.7,34.9,32.8,Positive
305,SSBS/W/2021/305,30-12-2021,"Under bridge Dapodi gaothan, Old Sangvi bridge",Genepath,33.6,38.9,36.7,Positive
306,SSBS/W/2021/306,31-12-2021,"Rahatani, New DP road",Genepath,32.2,34.7,33.86,Positive
307,SSBS/W/2021/307,31-12-2021,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
308,SSBS/W/2021/308,31-12-2021,Wolf Colony Pimpri,Genepath,0,0,0,Negative
319,SSBS/W/2021/309,31-12-2021,"Dapodi, Sai service",Genepath,0,0,0,Negative
310,SSBS/W/2021/310,31-12-2021,Dapodi Harris Bridge,Genepath,33.1,36.3,34.8,Positive
311,SSBS/W/2022/311,3/1/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,33.2,35.7,34.4,Positive
312,SSBS/W/2022/312,3/1/2022,"Shivajinagar, Chaturshrungi Nala Catchment	",Genepath,35.5,36.8,35.2,Positive
313,SSBS/W/2022/313,3/1/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
314,SSBS/W/2022/314,3/1/2022,Kothrud Karve road,Genepath,35.9,36.8,35.8,Positive
315,SSBS/W/2022/315,3/1/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
316,SSBS/W/2022/316,3/1/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
317,SSBS/W/2022/317,4/1/2022,"Dattawadi, Rajaram Bridge",Genepath,33.9,36.4,34.4,Positive
318,SSBS/W/2022/318,4/1/2022,Vitthalwadi-Hingne ,Genepath,34.3,36.8,34.9,Positive
319,SSBS/W/2022/319,4/1/2022,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
320,SSBS/W/2022/320,4/1/2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
321,SSBS/W/2022/321,4/1/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
322,SSBS/W/2022/322,4/1/2022,"Shantinagar, Vishrantwadi",Genepath,36.8,36.8,36.25,Positive
323,SSBS/W/2022/323,5/1/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
324,SSBS/W/2022/324,5/1/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
325,SSBS/W/2022/325,5/1/2022,"Balewadi Phata, Baner",Genepath,31.7,35,33.3,Positive
326,SSBS/W/2022/326,5/1/2022,"Mahalunge Road, Baner",Genepath,31.3,34.8,33.9,Positive
327,SSBS/W/2022/327,5/1/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
328,SSBS/W/2022/328,5/1/2022,Aundh ,Genepath,0,0,0,Negative
329,SSBS/W/2022/329,6/1/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
330,SSBS/W/2022/330,6/1/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
331,SSBS/W/2022/331,6/1/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
332,SSBS/W/2022/332,6/1/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
333,SSBS/W/2022/333,6/1/2022,"Under bridge Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
334,SSBS/W/2021/334,7/1/2022,Dapodi Harris Bridge,Genepath,30.12,33.01,31.53,Positive
335,SSBS/W/2021/335,7/1/2022,"Dapodi, Sai service",Genepath,32.9,35,34.27,Positive
336,SSBS/W/2021/336,7/1/2022,Wolf Colony Pimpri,Genepath,29.6,32.44,31.31,Positive
337,SSBS/W/2021/337,7/1/2022,"Dapodi, Sai service",Genepath,30.98,34.47,32.86,Positive
338,SSBS/W/2021/338,7/1/2022,"Rahatani, New DP road",Genepath,30.55,32.91,32.07,Positive
339,SSBS/W/2022/339,10/1/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,28.77,30.89,30.05,Positive
340,SSBS/W/2022/340,10/1/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,28.93,30.98,30.28,Positive
341,SSBS/W/2022/341,10/1/2022,Kothrud Sanjeevan hospital,Genepath,30.03,32.16,31.52,Positive
342,SSBS/W/2022/342,10/1/2022,Kothrud Karve road,Genepath,0,0,0,Negative
343,SSBS/W/2022/343,10/1/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,29.37,31.41,30.54,Positive
344,SSBS/W/2022/344,10/1/2022,"Bus Depot (main), Kothrud",Genepath,30.53,34.33,33.67,Positive
345,SSBS/W/2022/345,11/1/2022,Jai bhavani nagar Pashan,Genepath,0,0,0,Negative
346,SSBS/W/2022/346,11/1/2022,"DP road, Botanical Garden, Aundh",Genepath,28.31,31.38,31.06,Positive
347,SSBS/W/2022/347,11/1/2022,Aundh,Genepath,0,0,0,Negative
348,SSBS/W/2022/348,11/1/2022,"Someshwarwadi, Pashan",Genepath,30,33.49,33.46,Positive
349,SSBS/W/2022/349,11/1/2022,"Balewadi Phata, Baner",Genepath,28.07,31.11,30.81,Positive
350,SSBS/W/2022/350,11/1/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
351,SSBS/W/2022/351,12/1/2022,"Shantinagar, Vishrantwadi",Genepath,28.39,32.75,31.9,Positive
352,SSBS/W/2022/352,12/1/2022,"RTO Office, Alandi road, Yerwada",Genepath,29.6,33.28,32.69,Positive
353,SSBS/W/2022/353,12/1/2022,"Old bund garden, Yerwada",Genepath,31.12,34.02,34.83,Positive
354,SSBS/W/2022/354,12/1/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,28.84,32.64,32.22,Positive
355,SSBS/W/2022/355,12/1/2022,"Dattawadi, Rajaram Bridge",Genepath,28.83,32.55,32.21,Positive
356,SSBS/W/2022/356,12/1/2022,Vitthalwadi-Hingne Shantinagar,Genepath,0,34.56,34.74,Positive
357,SSBS/W/2022/357,13-01-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,29.53,32.2,32.32,Positive
358,SSBS/W/2022/358,13-01-2022,"Shastri Nagar, Pimpri",Genepath,29.33,32.28,32.62,Positive
359,SSBS/W/2022/359,13-01-2022,"Kasarwadi, Pimple gurav road",Genepath,28.03,31.4,31.15,Positive
360,SSBS/W/2022/360,13-01-2022,"60-feet road, Pimple Gurav",Genepath,28.54,32.2,31.84,Positive
361,SSBS/W/2022/361,13-01-2022,"Dapodi, Sai service",Genepath,30.47,33,32.95,Positive
362,SSBS/W/2022/362,15-01-2022,"Rahatani, New DP road",Genepath,29.3,32,31.5,Positive
363,SSBS/W/2022/363,15-01-2022,"Kalewadi, Adarsh Nagar",Genepath,28.6,33,31.4,Positive
364,SSBS/W/2022/364,15-01-2022,"Wolf Colony, Pimpri",Genepath,32.4,35.6,34.5,Positive
365,SSBS/W/2022/365,15-01-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
366,SSBS/W/2022/366,15-01-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
367,SSBS/W/2022/367,17-01-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,29.5,32.4,31.7,Positive
368,SSBS/W/2022/368,17-01-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,28.8,32.1,31.5,Positive
369,SSBS/W/2022/369,17-01-2022,Kothrud Sanjeevan hospital,Genepath,29.1,32.3,31.8,Positive
370,SSBS/W/2022/370,17-01-2022,Kothrud Karve road,Genepath,0,0,0,Negative
371,SSBS/W/2022/371,17-01-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,29.8,33.2,31,Positive
372,SSBS/W/2022/372,17-01-2022,"Bus Depot (main), Kothrud",Genepath,36.8,39,36.5,Positive
373,SSBS/W/2022/373,18-01-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
374,SSBS/W/2022/374,18-01-2022,"Balewadi Phata, Baner",Genepath,34.6,38.6,35,Positive
375,SSBS/W/2022/375,18-01-2022,Aundh,Genepath,0,0,0,Negative
376,SSBS/W/2022/376,18-01-2022,"DP road, Botanical Garden, Aundh",Genepath,28.4,31.6,30.8,Positive
377,SSBS/W/2022/377,18-01-2022,"Someshwarwadi, Pashan",Genepath,29.4,32.9,32.8,Positive
378,SSBS/W/2022/378,18-01-2022,Jai bhavani nagar Pashan,Genepath,0,0,0,Negative
379,SSBS/W/2022/379,19-01-2022,"Dattawadi, Rajaram Bridge",Genepath,32.9,34.7,34.1,Positive
380,SSBS/W/2022/380,19-01-2022,"Vitthalwadi-Hingne, Shantinagar",Genepath,34.9,37.5,35.3,Positive
381,SSBS/W/2022/381,19-01-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
382,SSBS/W/2022/382,19-01-2022,"Old bund garden, Yerwada",Genepath,32.7,35.6,34.6,Positive
383,SSBS/W/2022/383,19-01-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,
384,SSBS/W/2022/384,19-01-2022,"Shantinagar, Vishrantwadi",Genepath,30.6,30.6,32,Positive
385,SSBS/W/2022/385,20-01-2022,"Dapodi, Sai service",Genepath,30,33.8,32.9,Positive
386,SSBS/W/2022/386,20-01-2022,"60-feet road, Pimple Gurav",Genepath,27.9,31.5,30.6,Positive
387,SSBS/W/2022/387,20-01-2022,"Kasarwadi, Pimple gurav road",Genepath,26.4,29.5,28.3,Positive
388,SSBS/W/2022/388,20-01-2022,"Shastri Nagar, Pimpri",Genepath,31,35.5,32.5,Positive
394,SSBS/W/2022/394,24-01-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,32.9,32.9,34.3,Positive
,SSBS/W/2022/HBR-08,15-01-2022,Harris bridge river water,Genepath,35,37,35.7,Positive
395,SSBS/W/2022/395,24-01-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
396,SSBS/W/2022/396,24-01-2022,Kothrud Sanjeevan hospital,Genepath,32.9,33.35,34.02,Positive
397,SSBS/W/2022/397,24-01-2022,Kothrud Karve road,Genepath,0,0,0,Negative
398,SSBS/W/2022/398,24-01-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
399,SSBS/W/2022/399,24-01-2022,"Bus Depot (main), Kothrud",Genepath,33.3,33.7,32.3,Positive
400,SSBS/W/2022/400,25-01-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
401,SSBS/W/2022/401,25-01-2022,"Balewadi Phata, Baner",Genepath,32.7,34,33.9,Positive
402,SSBS/W/2022/402,25-01-2022,Aundh,Genepath,0,0,0,Negative
403,SSBS/W/2022/403,25-01-2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
404,SSBS/W/2022/404,25-01-2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
405,SSBS/W/2022/405,25-01-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
406,SSBS/W/2022/406,27-01-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
407,SSBS/W/2022/407,27-01-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
408,SSBS/W/2022/408,27-01-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,35.8,35.2,34.4,Positive
409,SSBS/W/2022/409,27-01-2022,"Old bund garden, Yerwada",Genepath,36.1,35,35.4,Positive
410,SSBS/W/2022/410,27-01-2022,"RTO Office, Alandi road, Yerwada",Genepath,31.1,30.3,30.8,Positive
411,SSBS/W/2022/411,27-01-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
412,SSBS/W/2022/412,28-01-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
413,SSBS/W/2022/413,28-01-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
414,SSBS/W/2022/414,28-01-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
415,SSBS/W/2022/415,28-01-2022,"Shastri Nagar, Pimpri",Genepath,31.7,32.4,29.5,Positive
416,SSBS/W/2022/416,28-01-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
417,SSBS/W/2022/417,29-01-2022,Dapodi Harris Bridge,Genepath,31.54,37.24,36.15,Positive
418,SSBS/W/2022/418,29-01-2022,"Dapodi, Sai service",Genepath,32,36.58,35.12,Positive
419,SSBS/W/2022/419,29-01-2022,"Shastri Nagar, Pimpri",Genepath,30.95,36.3,34.42,Positive
420,SSBS/W/2022/420,29-01-2022,"Kalewadi, Adarsh Nagar",Genepath,29.97,35.23,35.08,Positive
421,SSBS/W/2022/421,29-01-2022,"Rahatani, New DP road",Genepath,28.42,33.5,32.42,Positive
422,SSBS/W/2022/422,31-01-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,29.32,33.88,32.23,Positive
423,SSBS/W/2022/423,31-01-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,29.84,34.4,33.1,Positive
424,SSBS/W/2022/424,31-01-2022,Kothrud Sanjeevan hospital,Genepath,30.69,35.4,34.53,Positive
425,SSBS/W/2022/425,31-01-2022,Kothrud Karve road,Genepath,0,0,0,Negative
426,SSBS/W/2022/426,31-01-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,30.11,34.98,34.57,Positive
427,SSBS/W/2022/427,31-01-2022,"Bus Depot (main), Kothrud",Genepath,30.49,36.1,35.62,Positive
428,SSBS/W/2022/428,1/2/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
429,SSBS/W/2022/429,1/2/2022,"DP road, Botanical Garden, Aundh",Genepath,31.27,37.39,36.92,Positive
430,SSBS/W/2022/430,1/2/2022,Aundh,Genepath,31.28,37.55,36.23,Positive
431,SSBS/W/2022/431,1/2/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
432,SSBS/W/2022/432,1/2/2022,"Balewadi Phata, Baner",Genepath,28.65,33.94,32.27,Positive
433,SSBS/W/2022/433,1/2/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
434,SSBS/W/2022/434,2/2/2022,"Dattawadi, Rajaram Bridge",Genepath,30,34.66,33.45,Positive
435,SSBS/W/2022/435,2/2/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,28.76,34.07,32.74,Positive
436,SSBS/W/2022/436,2/2/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,30.12,34.71,33.33,Positive
437,SSBS/W/2022/437,2/2/2022,"Old bund garden, Yerwada",Genepath,32.84,35.73,34.88,Positive
438,SSBS/W/2022/438,2/2/2022,"Shantinagar, Vishrantwadi",Genepath,29.38,34.36,33.36,Positive
439,SSBS/W/2022/439,2/2/2022,"RTO Office, Alandi road, Yerwada",Genepath,30.57,35.46,34.18,Positive
440,SSBS/W/2022/440,3/2/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
441,SSBS/W/2022/441,3/2/2022,"Shastri Nagar, Pimpri",Genepath,29.21,33.77,32.4,Positive
442,SSBS/W/2022/442,3/2/2022,"Kasarwadi, Pimple gurav road",Genepath,30.38,34.98,33,Positive
443,SSBS/W/2022/443,3/2/2022,"60-feet road, Pimple Gurav",Genepath,29.59,34.06,32.95,Positive
444,SSBS/W/2022/444,3/2/2022,Dapodi-Sangvi,Genepath,32.11,36.4,35.29,Positive
445,SSBS/S/2022/445,4/2/2022,"Rahatani, New DP road",Genepath,37.19,36.56,36.07,Positive
446,SSBS/S/2022/446,4/2/2022,"Kalewadi, Adarsh Nagar",Genepath,32.18,33.07,32.95,Positive
447,SSBS/S/2022/447,4/2/2022,"Wolf Colony, Pimpri",Genepath,34.47,35.19,34.55,Positive
448,SSBS/S/2022/448,4/2/2022,"Dapodi, Sai service",Genepath,35.72,35.62,35.81,Positive
449,SSBS/S/2022/449,4/2/2022,Dapodi Harris Bridge,Genepath,36.8,35.89,35.87,Positive
450,SSBS/S/2022/450,7/2/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,36,35,35.3,Positive
451,SSBS/S/2022/451,7/2/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,34.27,36.23,35.47,Positive
452,SSBS/S/2022/452,7/2/2022,Kothrud Sanjeevan hospital,Genepath,33.38,34.15,34.05,Positive
453,SSBS/S/2022/453,7/2/2022,Kothrud Karve road,Genepath,0,0,0,Negative
454,SSBS/S/2022/454,7/2/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,35.26,35.74,35.62,Positive
455,SSBS/S/2022/455,7/2/2022,"Bus Depot (main), Kothrud",Genepath,36.2,36,35.9,Positive
456,SSBS/S/2022/456,8/2/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
457,SSBS/S/2022/457,8/2/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
458,SSBS/S/2022/458,8/2/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
459,SSBS/S/2022/459,8/2/2022,Aundh,Genepath,0,0,0,Negative
460,SSBS/S/2022/460,8/2/2022,"Mahalunge Road, Baner",Genepath,32.6,33.5,33.1,Positive
461,SSBS/S/2022/461,8/2/2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
462,SSBS/S/2022/462,9/2/2022,"Dattawadi, Rajaram Bridge",Genepath,35.5,36.86,36.21,Positive
463,SSBS/S/2022/463,9/2/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,37.2,36.7,36.9,Positive
464,SSBS/S/2022/464,9/2/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
465,SSBS/S/2022/465,9/2/2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
466,SSBS/S/2022/466,9/2/2022,"RTO Office, Alandi road, Yerwada",Genepath,34,34.66,34.82,Positive
467,SSBS/S/2022/467,9/2/2022,"Shantinagar, Vishrantwadi",Genepath,35.6,35.4,35,Positive
468,SSBS/S/2022/468,10/2/2022,"Dapodi, Sai service",Genepath,34.7,34.4,35.3,Positive
469,SSBS/S/2022/469,10/2/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
470,SSBS/S/2022/470,10/2/2022,"Kasarwadi, Pimple gurav road",Genepath,36,36.6,35.3,Positive
471,SSBS/S/2022/471,10/2/2022,"Shastri Nagar, Pimpri",Genepath,36.59,35.72,35.27,Positive
472,SSBS/S/2022/472,10/2/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
473,SSBS/S/2022/473,11/2/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
474,SSBS/S/2022/474,11/2/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
475,SSBS/S/2022/475,11/2/2022,"Wolf Colony, Pimpri",Genepath,34.4,36.7,35.2,Positive
476,SSBS/S/2022/476,11/2/2022,"Kalewadi, Adarsh Nagar",Genepath,34,36.1,36.1,Positive
477,SSBS/S/2022/477,11/2/2022,"Rahatani, New DP road",Genepath,34.6,36.1,34.9,Positive
478,SSBS/S/2022/478,14-02-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,33.6,36.4,35.3,Positive
479,SSBS/S/2022/479,14-02-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,33.2,35.6,34.6,Positive
480,SSBS/S/2022/480,14-02-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
481,SSBS/S/2022/481,14-02-2022,Kothrud Karve road,Genepath,0,0,0,Negative
482,SSBS/S/2022/482,14-02-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,34.1,37.1,36.2,Positive
483,SSBS/S/2022/483,14-02-2022,"Bus Depot (main), Kothrud",Genepath,35.4,38.6,36.3, 
484,SSBS/S/2022/484,15-02-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
485,SSBS/S/2022/485,15-02-2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
486,SSBS/S/2022/486,15-02-2022,"DP road, Botanical Garden, Aundh",Genepath,35.3,37.6,35.6,Positive
487,SSBS/S/2022/487,15-02-2022,Aundh,Genepath,0,0,0,Negative
488,SSBS/S/2022/488,15-02-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
489,SSBS/S/2022/489,15-02-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
490,SSBS/S/2022/490,16-02-2022,"Dattawadi, Rajaram Bridge",Genepath,33.5,35.5,34.4,Positive
491,SSBS/S/2022/491,16-02-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,33.9,35.8,35.2,Positive
492,SSBS/S/2022/492,16-02-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,35,36.8,36.3,Positive
493,SSBS/S/2022/493,16-02-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
494,SSBS/S/2022/494,16-02-2022,"RTO Office, Alandi road, Yerwada",Genepath,35.5,36.9,35.3,Positive
495,SSBS/S/2022/495,16-02-2022,"Shantinagar, Vishrantwadi",Genepath,35.3,39.5,35.5,Positive
496,SSBS/S/2022/496,17-02-2022,Dapodi-Sangvi,Genepath,36.5,39.9,36.8,Positive
497,SSBS/S/2022/497,17-02-2022,"60-feet road, Pimple Gurav",Genepath,36.67,0,36.7,Positive
498,SSBS/S/2022/498,17-02-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
499,SSBS/S/2022/499,17-02-2022,"Shastri Nagar, Pimpri",Genepath,33.5,35.4,34.5,Positive
500,SSBS/S/2022/500,17-02-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,33.8,36.3,34.7,Positive
