Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR Result
307.0,31-12-2021,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
308.0,31-12-2021,Wolf Colony Pimpri,0.0,0.0,0.0,Negative
319.0,31-12-2021,"Dapodi, Sai service",0.0,0.0,0.0,Negative
310.0,31-12-2021,Dapodi Harris Bridge,33.1,36.3,34.8,Positive
311.0,3/1/2022,"Shivajinagar, Vaidhwadi Nala catchment",33.2,35.7,34.4,Positive
312.0,3/1/2022,"Shivajinagar, Chaturshrungi Nala Catchment	",35.5,36.8,35.2,Positive
313.0,3/1/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
314.0,3/1/2022,Kothrud Karve road,35.9,36.8,35.8,Positive
315.0,3/1/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
316.0,3/1/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
317.0,4/1/2022,"Dattawadi, Rajaram Bridge",33.9,36.4,34.4,Positive
318.0,4/1/2022,Vitthalwadi-Hingne ,34.3,36.8,34.9,Positive
319.0,4/1/2022,"Kasba peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
320.0,4/1/2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
321.0,4/1/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
322.0,4/1/2022,"Shantinagar, Vishrantwadi",36.8,36.8,36.25,Positive
323.0,5/1/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
324.0,5/1/2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
325.0,5/1/2022,"Balewadi Phata, Baner",31.7,35.0,33.3,Positive
326.0,5/1/2022,"Mahalunge Road, Baner",31.3,34.8,33.9,Positive
327.0,5/1/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
328.0,5/1/2022,Aundh ,0.0,0.0,0.0,Negative
329.0,6/1/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
330.0,6/1/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
331.0,6/1/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
332.0,6/1/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
333.0,6/1/2022,"Under bridge Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
334.0,7/1/2022,Dapodi Harris Bridge,30.12,33.01,31.53,Positive
335.0,7/1/2022,"Dapodi, Sai service",32.9,35.0,34.27,Positive
336.0,7/1/2022,Wolf Colony Pimpri,29.6,32.44,31.31,Positive
337.0,7/1/2022,"Dapodi, Sai service",30.98,34.47,32.86,Positive
338.0,7/1/2022,"Rahatani, New DP road",30.55,32.91,32.07,Positive
339.0,10/1/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.77,30.89,30.05,Positive
340.0,10/1/2022,"Shivajinagar, Chaturshrungi Nala Catchment",28.93,30.98,30.28,Positive
341.0,10/1/2022,Kothrud Sanjeevan hospital,30.03,32.16,31.52,Positive
342.0,10/1/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
343.0,10/1/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",29.37,31.41,30.54,Positive
344.0,10/1/2022,"Bus Depot (main), Kothrud",30.53,34.33,33.67,Positive
345.0,11/1/2022,Jai bhavani nagar Pashan,0.0,0.0,0.0,Negative
346.0,11/1/2022,"DP road, Botanical Garden, Aundh",28.31,31.38,31.06,Positive
347.0,11/1/2022,Aundh,0.0,0.0,0.0,Negative
348.0,11/1/2022,"Someshwarwadi, Pashan",30.0,33.49,33.46,Positive
349.0,11/1/2022,"Balewadi Phata, Baner",28.07,31.11,30.81,Positive
350.0,11/1/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
351.0,12/1/2022,"Shantinagar, Vishrantwadi",28.39,32.75,31.9,Positive
352.0,12/1/2022,"RTO Office, Alandi road, Yerwada",29.6,33.28,32.69,Positive
353.0,12/1/2022,"Old bund garden, Yerwada",31.12,34.02,34.83,Positive
354.0,12/1/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",28.84,32.64,32.22,Positive
355.0,12/1/2022,"Dattawadi, Rajaram Bridge",28.83,32.55,32.21,Positive
356.0,12/1/2022,Vitthalwadi-Hingne Shantinagar,0.0,34.56,34.74,Positive
357.0,13-01-2022,"Aditya Birla Hospital Road, Under bridge",29.53,32.2,32.32,Positive
358.0,13-01-2022,"Shastri Nagar, Pimpri",29.33,32.28,32.62,Positive
359.0,13-01-2022,"Kasarwadi, Pimple gurav road",28.03,31.4,31.15,Positive
360.0,13-01-2022,"60-feet road, Pimple Gurav",28.54,32.2,31.84,Positive
361.0,13-01-2022,"Dapodi, Sai service",30.47,33.0,32.95,Positive
362.0,15-01-2022,"Rahatani, New DP road",29.3,32.0,31.5,Positive
363.0,15-01-2022,"Kalewadi, Adarsh Nagar",28.6,33.0,31.4,Positive
364.0,15-01-2022,"Wolf Colony, Pimpri",32.4,35.6,34.5,Positive
365.0,15-01-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
366.0,15-01-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
367.0,17-01-2022,"Shivajinagar, Vaidhwadi Nala catchment",29.5,32.4,31.7,Positive
368.0,17-01-2022,"Shivajinagar, Chaturshrungi Nala Catchment",28.8,32.1,31.5,Positive
369.0,17-01-2022,Kothrud Sanjeevan hospital,29.1,32.3,31.8,Positive
370.0,17-01-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
371.0,17-01-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",29.8,33.2,31.0,Positive
372.0,17-01-2022,"Bus Depot (main), Kothrud",36.8,39.0,36.5,Positive
373.0,18-01-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
374.0,18-01-2022,"Balewadi Phata, Baner",34.6,38.6,35.0,Positive
375.0,18-01-2022,Aundh,0.0,0.0,0.0,Negative
376.0,18-01-2022,"DP road, Botanical Garden, Aundh",28.4,31.6,30.8,Positive
377.0,18-01-2022,"Someshwarwadi, Pashan",29.4,32.9,32.8,Positive
378.0,18-01-2022,Jai bhavani nagar Pashan,0.0,0.0,0.0,Negative
379.0,19-01-2022,"Dattawadi, Rajaram Bridge",32.9,34.7,34.1,Positive
380.0,19-01-2022,"Vitthalwadi-Hingne, Shantinagar",34.9,37.5,35.3,Positive
381.0,19-01-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
382.0,19-01-2022,"Old bund garden, Yerwada",32.7,35.6,34.6,Positive
383.0,19-01-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,
384.0,19-01-2022,"Shantinagar, Vishrantwadi",30.6,30.6,32.0,Positive
385.0,20-01-2022,"Dapodi, Sai service",30.0,33.8,32.9,Positive
386.0,20-01-2022,"60-feet road, Pimple Gurav",27.9,31.5,30.6,Positive
387.0,20-01-2022,"Kasarwadi, Pimple gurav road",26.4,29.5,28.3,Positive
388.0,20-01-2022,"Shastri Nagar, Pimpri",31.0,35.5,32.5,Positive
394.0,24-01-2022,"Shivajinagar, Vaidhwadi Nala catchment",32.9,32.9,34.3,Positive
,15-01-2022,Harris bridge river water,35.0,37.0,35.7,Positive
395.0,24-01-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
396.0,24-01-2022,Kothrud Sanjeevan hospital,32.9,33.35,34.02,Positive
397.0,24-01-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
398.0,24-01-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
399.0,24-01-2022,"Bus Depot (main), Kothrud",33.3,33.7,32.3,Positive
400.0,25-01-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
401.0,25-01-2022,"Balewadi Phata, Baner",32.7,34.0,33.9,Positive
402.0,25-01-2022,Aundh,0.0,0.0,0.0,Negative
403.0,25-01-2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
404.0,25-01-2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
405.0,25-01-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
406.0,27-01-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
407.0,27-01-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
408.0,27-01-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",35.8,35.2,34.4,Positive
409.0,27-01-2022,"Old bund garden, Yerwada",36.1,35.0,35.4,Positive
410.0,27-01-2022,"RTO Office, Alandi road, Yerwada",31.1,30.3,30.8,Positive
411.0,27-01-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
412.0,28-01-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
413.0,28-01-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
414.0,28-01-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
415.0,28-01-2022,"Shastri Nagar, Pimpri",31.7,32.4,29.5,Positive
416.0,28-01-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
417.0,29-01-2022,Dapodi Harris Bridge,31.54,37.24,36.15,Positive
418.0,29-01-2022,"Dapodi, Sai service",32.0,36.58,35.12,Positive
419.0,29-01-2022,"Shastri Nagar, Pimpri",30.95,36.3,34.42,Positive
420.0,29-01-2022,"Kalewadi, Adarsh Nagar",29.97,35.23,35.08,Positive
421.0,29-01-2022,"Rahatani, New DP road",28.42,33.5,32.42,Positive
422.0,31-01-2022,"Shivajinagar, Vaidhwadi Nala catchment",29.32,33.88,32.23,Positive
423.0,31-01-2022,"Shivajinagar, Chaturshrungi Nala Catchment",29.84,34.4,33.1,Positive
424.0,31-01-2022,Kothrud Sanjeevan hospital,30.69,35.4,34.53,Positive
425.0,31-01-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
426.0,31-01-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",30.11,34.98,34.57,Positive
427.0,31-01-2022,"Bus Depot (main), Kothrud",30.49,36.1,35.62,Positive
428.0,1/2/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
429.0,1/2/2022,"DP road, Botanical Garden, Aundh",31.27,37.39,36.92,Positive
430.0,1/2/2022,Aundh,31.28,37.55,36.23,Positive
431.0,1/2/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
432.0,1/2/2022,"Balewadi Phata, Baner",28.65,33.94,32.27,Positive
433.0,1/2/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
434.0,2/2/2022,"Dattawadi, Rajaram Bridge",30.0,34.66,33.45,Positive
435.0,2/2/2022,"Vitthalwadi-Hingne Shantinagar,",28.76,34.07,32.74,Positive
436.0,2/2/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",30.12,34.71,33.33,Positive
437.0,2/2/2022,"Old bund garden, Yerwada",32.84,35.73,34.88,Positive
438.0,2/2/2022,"Shantinagar, Vishrantwadi",29.38,34.36,33.36,Positive
439.0,2/2/2022,"RTO Office, Alandi road, Yerwada",30.57,35.46,34.18,Positive
440.0,3/2/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
441.0,3/2/2022,"Shastri Nagar, Pimpri",29.21,33.77,32.4,Positive
442.0,3/2/2022,"Kasarwadi, Pimple gurav road",30.38,34.98,33.0,Positive
443.0,3/2/2022,"60-feet road, Pimple Gurav",29.59,34.06,32.95,Positive
444.0,3/2/2022,Dapodi-Sangvi,32.11,36.4,35.29,Positive
445.0,4/2/2022,"Rahatani, New DP road",37.19,36.56,36.07,Positive
446.0,4/2/2022,"Kalewadi, Adarsh Nagar",32.18,33.07,32.95,Positive
447.0,4/2/2022,"Wolf Colony, Pimpri",34.47,35.19,34.55,Positive
448.0,4/2/2022,"Dapodi, Sai service",35.72,35.62,35.81,Positive
449.0,4/2/2022,Dapodi Harris Bridge,36.8,35.89,35.87,Positive
450.0,7/2/2022,"Shivajinagar, Vaidhwadi Nala catchment",36.0,35.0,35.3,Positive
451.0,7/2/2022,"Shivajinagar, Chaturshrungi Nala Catchment",34.27,36.23,35.47,Positive
452.0,7/2/2022,Kothrud Sanjeevan hospital,33.38,34.15,34.05,Positive
453.0,7/2/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
454.0,7/2/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",35.26,35.74,35.62,Positive
455.0,7/2/2022,"Bus Depot (main), Kothrud",36.2,36.0,35.9,Positive
456.0,8/2/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
457.0,8/2/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
458.0,8/2/2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
459.0,8/2/2022,Aundh,0.0,0.0,0.0,Negative
460.0,8/2/2022,"Mahalunge Road, Baner",32.6,33.5,33.1,Positive
461.0,8/2/2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
462.0,9/2/2022,"Dattawadi, Rajaram Bridge",35.5,36.86,36.21,Positive
463.0,9/2/2022,"Vitthalwadi-Hingne Shantinagar,",37.2,36.7,36.9,Positive
464.0,9/2/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
465.0,9/2/2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
466.0,9/2/2022,"RTO Office, Alandi road, Yerwada",34.0,34.66,34.82,Positive
467.0,9/2/2022,"Shantinagar, Vishrantwadi",35.6,35.4,35.0,Positive
468.0,10/2/2022,"Dapodi, Sai service",34.7,34.4,35.3,Positive
469.0,10/2/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
470.0,10/2/2022,"Kasarwadi, Pimple gurav road",36.0,36.6,35.3,Positive
471.0,10/2/2022,"Shastri Nagar, Pimpri",36.59,35.72,35.27,Positive
472.0,10/2/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
473.0,11/2/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
474.0,11/2/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
475.0,11/2/2022,"Wolf Colony, Pimpri",34.4,36.7,35.2,Positive
476.0,11/2/2022,"Kalewadi, Adarsh Nagar",34.0,36.1,36.1,Positive
477.0,11/2/2022,"Rahatani, New DP road",34.6,36.1,34.9,Positive
478.0,14-02-2022,"Shivajinagar, Vaidhwadi Nala catchment",33.6,36.4,35.3,Positive
479.0,14-02-2022,"Shivajinagar, Chaturshrungi Nala Catchment",33.2,35.6,34.6,Positive
480.0,14-02-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
481.0,14-02-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
482.0,14-02-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",34.1,37.1,36.2,Positive
483.0,14-02-2022,"Bus Depot (main), Kothrud",35.4,38.6,36.3, 
484.0,15-02-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
485.0,15-02-2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
486.0,15-02-2022,"DP road, Botanical Garden, Aundh",35.3,37.6,35.6,Positive
487.0,15-02-2022,Aundh,0.0,0.0,0.0,Negative
488.0,15-02-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
489.0,15-02-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
490.0,16-02-2022,"Dattawadi, Rajaram Bridge",33.5,35.5,34.4,Positive
491.0,16-02-2022,"Vitthalwadi-Hingne Shantinagar,",33.9,35.8,35.2,Positive
492.0,16-02-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",35.0,36.8,36.3,Positive
493.0,16-02-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
494.0,16-02-2022,"RTO Office, Alandi road, Yerwada",35.5,36.9,35.3,Positive
495.0,16-02-2022,"Shantinagar, Vishrantwadi",35.3,39.5,35.5,Positive
496.0,17-02-2022,Dapodi-Sangvi,36.5,39.9,36.8,Positive
497.0,17-02-2022,"60-feet road, Pimple Gurav",36.67,0.0,36.7,Positive
498.0,17-02-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
499.0,17-02-2022,"Shastri Nagar, Pimpri",33.5,35.4,34.5,Positive
500.0,17-02-2022,"Aditya Birla Hospital Road, Under bridge",33.8,36.3,34.7,Positive
501.0,18-02-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
502.0,18-02-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
503.0,18-02-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
504.0,18-02-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
505.0,18-02-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
506.0,21-02-2022,"Shivajinagar, Vaidhwadi Nala catchment",34.16,35.38,34.51,Positive
507.0,21-02-2022,"Shivajinagar, Chaturshrungi Nala Catchment",36.26,37.29,34.88,Positive
508.0,21-02-2022,Kothrud Sanjeevan hospital,35.19,36.13,33.09,Positive
509.0,21-02-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
510.0,21-02-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",35.88,36.93,35.5,Positive
511.0,21-02-2022,"Bus Depot (main), Kothrud",36.57,37.07,34.58,Positive
512.0,22-02-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
513.0,22-02-2022,"Someshwarwadi, Pashan",36.87,37.41,33.84,Positive
514.0,22-02-2022,"DP road, Botanical Garden, Aundh",35.52,36.92,33.98,Positive
515.0,22-02-2022,Aundh,36.38,38.58,23.38,Positive
516.0,22-02-2022,"Balewadi Phata, Baner",34.64,35.28,32.69,Positive
517.0,22-02-2022,"Mahalunge Road, Baner",35.96,0.0,28.72,Positive
518.0,23-02-2022,"Dattawadi, Rajaram Bridge",36.63,39.09,35.14,Positive
519.0,23-02-2022,"Vitthalwadi-Hingne Shantinagar,",35.62,38.04,36.07,Positive
520.0,23-02-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
521.0,23-02-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
522.0,23-02-2022,"RTO Office, Alandi road, Yerwada",35.35,37.05,34.41,Positive
523.0,23-02-2022,"Shantinagar, Vishrantwadi",35.69,37.8,35.08,Positive
524.0,24-02-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
525.0,24-02-2022,"Shastri Nagar, Pimpri",35.0,37.2,35.27,Positive
526.0,24-02-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
527.0,24-02-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
528.0,24-02-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
529.0,25-02-2022,"Rahatani, New DP road",36.53,38.39,36.83,Positive
530.0,25-02-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
531.0,25-02-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
532.0,25-02-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
533.0,25-02-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
534.0,28-02-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
535.0,28-02-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
536.0,28-02-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
537.0,28-02-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
538.0,28-02-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
539.0,28-02-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
540.0,1/3/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
541.0,1/3/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
542.0,1/3/2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
543.0,1/3/2022,"Balewadi Phata, Baner",35.16,37.81,36.62,Positive
544.0,1/3/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
545.0,1/3/2022,Aundh,0.0,0.0,0.0,Negative
546.0,2/3/2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
547.0,2/3/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
548.0,2/3/2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
549.0,2/3/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
550.0,2/3/2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
551.0,2/3/2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
552.0,3/3/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
553.0,3/3/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
554.0,3/3/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
555.0,3/3/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
556.0,3/3/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
557.0,4/3/2022,"Rahatani, New DP road",31.58,36.72,36.54,Positive
558.0,4/3/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
559.0,4/3/2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
560.0,4/3/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
561.0,4/3/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
562.0,7/3/2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
563.0,7/3/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
564.0,7/3/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
565.0,7/3/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
566.0,7/3/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",36.73,37.87,0.0,Positive
567.0,7/3/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
568.0,8/3/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
569.0,8/3/2022,"Balewadi Phata, Baner",33.0,35.84,0.0,Positive
570.0,8/3/2022,Aundh,0.0,0.0,0.0,Negative
571.0,8/3/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
572.0,8/3/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
573.0,8/3/2022,"DP road, Botanical Garden, Aundh",32.18,36.4,0.0,Positive
574.0,9/3/2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
575.0,9/3/2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
576.0,9/3/2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
577.0,9/3/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
578.0,9/3/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
579.0,9/3/2022,"Shantinagar, Vishrantwadi",35.95,0.0,37.64,Positive
580.0,10/3/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
581.0,10/3/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
582.0,10/3/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
583.0,10/3/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
584.0,10/3/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
585.0,11/3/2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
586.0,11/3/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
587.0,11/3/2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
588.0,11/3/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
589.0,11/3/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
590.0,14-03-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
591.0,14-03-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
592.0,14-03-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
593.0,14-03-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
594.0,14-03-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
595.0,14-03-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
596.0,15-03-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
597.0,15-03-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
598.0,15-03-2022,Aundh,0.0,0.0,0.0,Negative
599.0,15-03-2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
600.0,15-03-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
601.0,15-03-2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
602.0,16-03-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
603.0,16-03-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
604.0,16-03-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
605.0,16-03-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
606.0,16-03-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
607.0,16-03-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
608.0,17-03-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
609.0,17-03-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
610.0,17-03-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
611.0,17-03-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
612.0,17-03-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
613.0,21-03-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
614.0,21-03-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
615.0,21-03-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
616.0,21-03-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
617.0,21-03-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
618.0,21-03-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
619.0,22-03-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
620.0,22-03-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
621.0,22-03-2022,Aundh,0.0,0.0,0.0,Negative
622.0,22-03-2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
623.0,22-03-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
624.0,22-03-2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
625.0,23-03-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
626.0,23-03-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
627.0,23-03-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
