Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR_Result
359,13/01/2022,"Kasarwadi, Pimple gurav road",28.03,31.4,31.15,Positive
360,13/01/2022,"60/feet road, Pimple Gurav",28.54,32.2,31.84,Positive
361,13/01/2022,"Dapodi, Sai service",30.47,33,32.95,Positive
362,15/01/2022,"Rahatani, New DP road",29.3,32,31.5,Positive
363,15/01/2022,"Kalewadi, Adarsh Nagar",28.6,33,31.4,Positive
364,15/01/2022,"Wolf Colony, Pimpri",32.4,35.6,34.5,Positive
365,15/01/2022,"Dapodi, Sai service",0,0,0,Negative
366,15/01/2022,Dapodi Harris Bridge,0,0,0,Negative
367,17/01/2022,"Shivajinagar, Vaidhwadi Nala catchment",29.5,32.4,31.7,Positive
368,17/01/2022,"Shivajinagar, Chaturshrungi Nala Catchment",28.8,32.1,31.5,Positive
369,17/01/2022,Kothrud Sanjeevan hospital,29.1,32.3,31.8,Positive
370,17/01/2022,Kothrud Karve road,0,0,0,Negative
371,17/01/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",29.8,33.2,31,Positive
372,17/01/2022,"Bus Depot (main), Kothrud",36.8,39,36.5,Positive
373,18/01/2022,"Mahalunge Road, Baner",0,0,0,Negative
374,18/01/2022,"Balewadi Phata, Baner",34.6,38.6,35,Positive
375,18/01/2022,Aundh,0,0,0,Negative
376,18/01/2022,"DP road, Botanical Garden, Aundh",28.4,31.6,30.8,Positive
377,18/01/2022,"Someshwarwadi, Pashan",29.4,32.9,32.8,Positive
378,18/01/2022,Jai bhavani nagar Pashan,0,0,0,Negative
379,19/01/2022,"Dattawadi, Rajaram Bridge",32.9,34.7,34.1,Positive
380,19/01/2022,"Vitthalwadi/Hingne, Shantinagar",34.9,37.5,35.3,Positive
381,19/01/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
382,19/01/2022,"Old bund garden, Yerwada",32.7,35.6,34.6,Positive
383,19/01/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
384,19/01/2022,"Shantinagar, Vishrantwadi",30.6,30.6,32,Positive
385,20/01/2022,"Dapodi, Sai service",30,33.8,32.9,Positive
386,20/01/2022,"60/feet road, Pimple Gurav",27.9,31.5,30.6,Positive
387,20/01/2022,"Kasarwadi, Pimple gurav road",26.4,29.5,28.3,Positive
388,20/01/2022,"Shastri Nagar, Pimpri",31,35.5,32.5,Positive
394,24/01/2022,"Shivajinagar, Vaidhwadi Nala catchment",32.9,32.9,34.3,Positive
,15/01/2022,Harris bridge river water,35,37,35.7,Positive
395,24/01/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
396,24/01/2022,Kothrud Sanjeevan hospital,32.9,33.35,34.02,Positive
397,24/01/2022,Kothrud Karve road,0,0,0,Negative
398,24/01/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
399,24/01/2022,"Bus Depot (main), Kothrud",33.3,33.7,32.3,Positive
400,25/01/2022,"Mahalunge Road, Baner",0,0,0,Negative
401,25/01/2022,"Balewadi Phata, Baner",32.7,34,33.9,Positive
402,25/01/2022,Aundh,0,0,0,Negative
403,25/01/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
404,25/01/2022,"Someshwarwadi, Pashan",0,0,0,Negative
405,25/01/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
406,27/01/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
407,27/01/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
408,27/01/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",35.8,35.2,34.4,Positive
409,27/01/2022,"Old bund garden, Yerwada",36.1,35,35.4,Positive
410,27/01/2022,"RTO Office, Alandi road, Yerwada",31.1,30.3,30.8,Positive
411,27/01/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
412,28/01/2022,Dapodi/Sangvi,0,0,0,Negative
413,28/01/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
414,28/01/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
415,28/01/2022,"Shastri Nagar, Pimpri",31.7,32.4,29.5,Positive
416,28/01/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
417,29/01/2022,Dapodi Harris Bridge,31.54,37.24,36.15,Positive
418,29/01/2022,"Dapodi, Sai service",32,36.58,35.12,Positive
419,29/01/2022,"Shastri Nagar, Pimpri",30.95,36.3,34.42,Positive
420,29/01/2022,"Kalewadi, Adarsh Nagar",29.97,35.23,35.08,Positive
421,29/01/2022,"Rahatani, New DP road",28.42,33.5,32.42,Positive
422,31/01/2022,"Shivajinagar, Vaidhwadi Nala catchment",29.32,33.88,32.23,Positive
423,31/01/2022,"Shivajinagar, Chaturshrungi Nala Catchment",29.84,34.4,33.1,Positive
424,31/01/2022,Kothrud Sanjeevan hospital,30.69,35.4,34.53,Positive
425,31/01/2022,Kothrud Karve road,0,0,0,Negative
426,31/01/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",30.11,34.98,34.57,Positive
427,31/01/2022,"Bus Depot (main), Kothrud",30.49,36.1,35.62,Positive
428,2/1/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
429,2/1/2022,"DP road, Botanical Garden, Aundh",31.27,37.39,36.92,Positive
430,2/1/2022,Aundh,31.28,37.55,36.23,Positive
431,2/1/2022,"Someshwarwadi, Pashan",0,0,0,Negative
432,2/1/2022,"Balewadi Phata, Baner",28.65,33.94,32.27,Positive
433,2/1/2022,"Mahalunge Road, Baner",0,0,0,Negative
434,2/2/2022,"Dattawadi, Rajaram Bridge",30,34.66,33.45,Positive
435,2/2/2022,"Vitthalwadi/Hingne Shantinagar,",28.76,34.07,32.74,Positive
436,2/2/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",30.12,34.71,33.33,Positive
437,2/2/2022,"Old bund garden, Yerwada",32.84,35.73,34.88,Positive
438,2/2/2022,"Shantinagar, Vishrantwadi",29.38,34.36,33.36,Positive
439,2/2/2022,"RTO Office, Alandi road, Yerwada",30.57,35.46,34.18,Positive
440,2/3/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
441,2/3/2022,"Shastri Nagar, Pimpri",29.21,33.77,32.4,Positive
442,2/3/2022,"Kasarwadi, Pimple gurav road",30.38,34.98,33,Positive
443,2/3/2022,"60/feet road, Pimple Gurav",29.59,34.06,32.95,Positive
444,2/3/2022,Dapodi/Sangvi,32.11,36.4,35.29,Positive
445,2/4/2022,"Rahatani, New DP road",37.19,36.56,36.07,Positive
446,2/4/2022,"Kalewadi, Adarsh Nagar",32.18,33.07,32.95,Positive
447,2/4/2022,"Wolf Colony, Pimpri",34.47,35.19,34.55,Positive
448,2/4/2022,"Dapodi, Sai service",35.72,35.62,35.81,Positive
449,2/4/2022,Dapodi Harris Bridge,36.8,35.89,35.87,Positive
450,2/7/2022,"Shivajinagar, Vaidhwadi Nala catchment",36,35,35.3,Positive
451,2/7/2022,"Shivajinagar, Chaturshrungi Nala Catchment",34.27,36.23,35.47,Positive
452,2/7/2022,Kothrud Sanjeevan hospital,33.38,34.15,34.05,Positive
453,2/7/2022,Kothrud Karve road,0,0,0,Negative
454,2/7/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35.26,35.74,35.62,Positive
455,2/7/2022,"Bus Depot (main), Kothrud",36.2,36,35.9,Positive
456,2/8/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
457,2/8/2022,"Someshwarwadi, Pashan",0,0,0,Negative
458,2/8/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
459,2/8/2022,Aundh,0,0,0,Negative
460,2/8/2022,"Mahalunge Road, Baner",32.6,33.5,33.1,Positive
461,2/8/2022,"Balewadi Phata, Baner",0,0,0,Negative
462,2/9/2022,"Dattawadi, Rajaram Bridge",35.5,36.86,36.21,Positive
463,2/9/2022,"Vitthalwadi/Hingne Shantinagar,",37.2,36.7,36.9,Positive
464,2/9/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
465,2/9/2022,"Old bund garden, Yerwada",0,0,0,Negative
466,2/9/2022,"RTO Office, Alandi road, Yerwada",34,34.66,34.82,Positive
467,2/9/2022,"Shantinagar, Vishrantwadi",35.6,35.4,35,Positive
468,2/10/2022,"Dapodi, Sai service",34.7,34.4,35.3,Positive
469,2/10/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
470,2/10/2022,"Kasarwadi, Pimple gurav road",36,36.6,35.3,Positive
471,2/10/2022,"Shastri Nagar, Pimpri",36.59,35.72,35.27,Positive
472,2/10/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
473,2/11/2022,Dapodi Harris Bridge,0,0,0,Negative
474,2/11/2022,"Dapodi, Sai service",0,0,0,Negative
475,2/11/2022,"Wolf Colony, Pimpri",34.4,36.7,35.2,Positive
476,2/11/2022,"Kalewadi, Adarsh Nagar",34,36.1,36.1,Positive
477,2/11/2022,"Rahatani, New DP road",34.6,36.1,34.9,Positive
478,14/02/2022,"Shivajinagar, Vaidhwadi Nala catchment",33.6,36.4,35.3,Positive
479,14/02/2022,"Shivajinagar, Chaturshrungi Nala Catchment",33.2,35.6,34.6,Positive
480,14/02/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
481,14/02/2022,Kothrud Karve road,0,0,0,Negative
482,14/02/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",34.1,37.1,36.2,Positive
483,14/02/2022,"Bus Depot (main), Kothrud",35.4,38.6,36.3,Positive
484,15/02/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
485,15/02/2022,"Someshwarwadi, Pashan",0,0,0,Negative
486,15/02/2022,"DP road, Botanical Garden, Aundh",35.3,37.6,35.6,Positive
487,15/02/2022,Aundh,0,0,0,Negative
488,15/02/2022,"Balewadi Phata, Baner",0,0,0,Negative
489,15/02/2022,"Mahalunge Road, Baner",0,0,0,Negative
490,16/02/2022,"Dattawadi, Rajaram Bridge",33.5,35.5,34.4,Positive
491,16/02/2022,"Vitthalwadi/Hingne Shantinagar,",33.9,35.8,35.2,Positive
492,16/02/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",35,36.8,36.3,Positive
493,16/02/2022,"Old bund garden, Yerwada",0,0,0,Negative
494,16/02/2022,"RTO Office, Alandi road, Yerwada",35.5,36.9,35.3,Positive
495,16/02/2022,"Shantinagar, Vishrantwadi",35.3,39.5,35.5,Positive
496,17/02/2022,Dapodi/Sangvi,36.5,39.9,36.8,Positive
497,17/02/2022,"60/feet road, Pimple Gurav",36.67,0,36.7,Positive
498,17/02/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
499,17/02/2022,"Shastri Nagar, Pimpri",33.5,35.4,34.5,Positive
500,17/02/2022,"Aditya Birla Hospital Road, Under bridge",33.8,36.3,34.7,Positive
501,18/02/2022,Dapodi Harris Bridge,0,0,0,Negative
502,18/02/2022,"Dapodi, Sai service",0,0,0,Negative
503,18/02/2022,"Wolf Colony, Pimpri",0,0,0,Negative
504,18/02/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
505,18/02/2022,"Rahatani, New DP road",0,0,0,Negative
506,21/02/2022,"Shivajinagar, Vaidhwadi Nala catchment",34.16,35.38,34.51,Positive
507,21/02/2022,"Shivajinagar, Chaturshrungi Nala Catchment",36.26,37.29,34.88,Positive
508,21/02/2022,Kothrud Sanjeevan hospital,35.19,36.13,33.09,Positive
509,21/02/2022,Kothrud Karve road,0,0,0,Negative
510,21/02/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35.88,36.93,35.5,Positive
511,21/02/2022,"Bus Depot (main), Kothrud",36.57,37.07,34.58,Positive
512,22/02/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
513,22/02/2022,"Someshwarwadi, Pashan",36.87,37.41,33.84,Positive
514,22/02/2022,"DP road, Botanical Garden, Aundh",35.52,36.92,33.98,Positive
515,22/02/2022,Aundh,36.38,38.58,23.38,Positive
516,22/02/2022,"Balewadi Phata, Baner",34.64,35.28,32.69,Positive
517,22/02/2022,"Mahalunge Road, Baner",35.96,0,28.72,Positive
518,23/02/2022,"Dattawadi, Rajaram Bridge",36.63,39.09,35.14,Positive
519,23/02/2022,"Vitthalwadi/Hingne Shantinagar,",35.62,38.04,36.07,Positive
520,23/02/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
521,23/02/2022,"Old bund garden, Yerwada",0,0,0,Negative
522,23/02/2022,"RTO Office, Alandi road, Yerwada",35.35,37.05,34.41,Positive
523,23/02/2022,"Shantinagar, Vishrantwadi",35.69,37.8,35.08,Positive
524,24/02/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
525,24/02/2022,"Shastri Nagar, Pimpri",35,37.2,35.27,Positive
526,24/02/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
527,24/02/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
528,24/02/2022,Dapodi/Sangvi,0,0,0,Negative
529,25/02/2022,"Rahatani, New DP road",36.53,38.39,36.83,Positive
530,25/02/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
531,25/02/2022,"Wolf Colony, Pimpri",0,0,0,Negative
532,25/02/2022,"Dapodi, Sai service",0,0,0,Negative
533,25/02/2022,Dapodi Harris Bridge,0,0,0,Negative
534,28/02/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
535,28/02/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
536,28/02/2022,Kothrud Karve road,0,0,0,Negative
537,28/02/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
538,28/02/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
539,28/02/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
540,3/1/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
541,3/1/2022,"Someshwarwadi, Pashan",0,0,0,Negative
542,3/1/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
543,3/1/2022,"Balewadi Phata, Baner",35.16,37.81,36.62,Positive
544,3/1/2022,"Mahalunge Road, Baner",0,0,0,Negative
545,3/1/2022,Aundh,0,0,0,Negative
546,3/2/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
547,3/2/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
548,3/2/2022,"Old bund garden, Yerwada",0,0,0,Negative
549,3/2/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
550,3/2/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
551,3/2/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
552,3/3/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
553,3/3/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
554,3/3/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
555,3/3/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
556,3/3/2022,Dapodi/Sangvi,0,0,0,Negative
557,3/4/2022,"Rahatani, New DP road",31.58,36.72,36.54,Positive
558,3/4/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
559,3/4/2022,"Wolf Colony, Pimpri",0,0,0,Negative
560,3/4/2022,"Dapodi, Sai service",0,0,0,Negative
561,3/4/2022,Dapodi Harris Bridge,0,0,0,Negative
562,3/7/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
563,3/7/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
564,3/7/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
565,3/7/2022,Kothrud Karve road,0,0,0,Negative
566,3/7/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",36.73,37.87,0,Positive
567,3/7/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
568,3/8/2022,"Mahalunge Road, Baner",0,0,0,Negative
569,3/8/2022,"Balewadi Phata, Baner",33,35.84,0,Positive
570,3/8/2022,Aundh,0,0,0,Negative
571,3/8/2022,"Someshwarwadi, Pashan",0,0,0,Negative
572,3/8/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
573,3/8/2022,"DP road, Botanical Garden, Aundh",32.18,36.4,0,Positive
574,3/9/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
575,3/9/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
576,3/9/2022,"Old bund garden, Yerwada",0,0,0,Negative
577,3/9/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
578,3/9/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
579,3/9/2022,"Shantinagar, Vishrantwadi",35.95,0,37.64,Positive
580,3/10/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
581,3/10/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
582,3/10/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
583,3/10/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
584,3/10/2022,Dapodi/Sangvi,0,0,0,Negative
585,3/11/2022,"Rahatani, New DP road",0,0,0,Negative
586,3/11/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
587,3/11/2022,"Wolf Colony, Pimpri",0,0,0,Negative
588,3/11/2022,"Dapodi, Sai service",0,0,0,Negative
589,3/11/2022,Dapodi Harris Bridge,0,0,0,Negative
590,14/03/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
591,14/03/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
592,14/03/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
593,14/03/2022,Kothrud Karve road,0,0,0,Negative
594,14/03/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
595,14/03/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
596,15/03/2022,"Mahalunge Road, Baner",0,0,0,Negative
597,15/03/2022,"Balewadi Phata, Baner",0,0,0,Negative
598,15/03/2022,Aundh,0,0,0,Negative
599,15/03/2022,"Someshwarwadi, Pashan",0,0,0,Negative
600,15/03/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
601,15/03/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
602,16/03/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
603,16/03/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
604,16/03/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
605,16/03/2022,"Old bund garden, Yerwada",0,0,0,Negative
606,16/03/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
607,16/03/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
608,17/03/2022,Dapodi/Sangvi,0,0,0,Negative
609,17/03/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
610,17/03/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
611,17/03/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
612,17/03/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
613,21/03/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
614,21/03/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
615,21/03/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
616,21/03/2022,Kothrud Karve road,0,0,0,Negative
617,21/03/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
618,21/03/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
619,22/03/2022,"Mahalunge Road, Baner",0,0,0,Negative
620,22/03/2022,"Balewadi Phata, Baner",0,0,0,Negative
621,22/03/2022,Aundh,0,0,0,Negative
622,22/03/2022,"Someshwarwadi, Pashan",0,0,0,Negative
623,22/03/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
624,22/03/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
625,23/03/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
626,23/03/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
627,23/03/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
628,23/03/2022,"Old bund garden, Yerwada",0,0,0,Negative
629,23/03/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
630,23/03/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
631,24/03/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
632,24/03/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
633,24/03/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
634,24/03/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
635,24/03/2022,Dapodi/Sangvi,0,0,0,Negative
636,25/03/2022,"Rahatani, New DP road",0,0,0,Negative
637,25/03/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
638,25/03/2022,"Wolf Colony, Pimpri",0,0,0,Negative
639,25/03/2022,"Dapodi, Sai service",0,0,0,Negative
640,25/03/2022,Dapodi Harris Bridge,0,0,0,Negative
641,28/03/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
642,28/03/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
643,28/03/2021,Kothrud Karve road,0,0,0,Negative
644,28/03/2021,Kothrud Sanjeevan hospital,0,0,0,Negative
645,28/03/2021,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
646,28/03/2021,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
647,29/03/2022,"Someshwarwadi, Pashan",0,0,0,Negative
648,29/03/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
649,29/03/2022,Aundh,0,0,0,Negative
650,29/03/2022,"Balewadi Phata, Baner",0,0,0,Negative
651,29/03/2022,"Mahalunge Road, Baner",0,0,0,Negative
652,29/03/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
653,30/03/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
654,30/03/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
655,30/03/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
656,30/03/2022,"Old bund garden, Yerwada",0,0,0,Negative
657,30/03/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
658,30/03/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
659,31/03/2022,Dapodi/Sangvi,0,0,0,Negative
660,31/03/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
661,31/03/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
662,31/03/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
663,31/03/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
664,4/1/2022,"Rahatani, New DP road",0,0,0,Negative
665,4/1/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
666,4/1/2022,"Wolf Colony, Pimpri",0,0,0,Negative
667,4/1/2022,"Dapodi, Sai service",0,0,0,Negative
668,4/1/2022,Dapodi Harris Bridge,0,0,0,Negative
669,4/4/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
670,4/4/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
671,4/4/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
672,4/4/2022,Kothrud Karve road,0,0,0,Negative
673,4/4/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
674,4/5/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
675,4/5/2022,"Mahalunge Road, Baner",0,0,0,Negative
676,4/5/2022,"Balewadi Phata, Baner",0,0,0,Negative
677,4/5/2022,Aundh,0,0,0,Negative
678,4/5/2022,"Someshwarwadi, Pashan",0,0,0,Negative
679,4/5/2022," DP road, Botanical Garden, Aundh",0,0,0,Negative
0,4/6/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
681,4/6/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
682,4/6/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
683,4/6/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
684,4/6/2022,"Old bund garden, Yerwada",0,0,0,Negative
685,4/6/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
686,4/7/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
687,4/7/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
688,4/7/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
689,4/7/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
690,4/7/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
691,4/7/2022,Dapodi/Sangvi,0,0,0,Negative
692,4/8/2022,"Rahatani, New DP road",0,0,0,Negative
693,4/8/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
694,4/8/2022,"Wolf Colony, Pimpri",0,0,0,Negative
695,4/8/2022,"Dapodi, Sai service",0,0,0,Negative
696,4/8/2022,Dapodi Harris Bridge,0,0,0,Negative
697,4/11/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
698,4/11/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
699,4/11/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
700,4/11/2022,Kothrud Karve road,0,0,0,Negative
701,4/11/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
702,4/11/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
703,4/12/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
704,4/12/2022," DP road, Botanical Garden, Aundh",0,0,0,Negative
705,4/12/2022,Aundh,0,0,0,Negative
706,4/12/2022,"Someshwarwadi, Pashan",0,0,0,Negative
707,4/12/2022,"Balewadi Phata, Baner",0,0,0,Negative
708,4/12/2022,"Mahalunge Road, Baner",0,0,0,Negative
709,13/04/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
710,13/04/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
711,13/04/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
712,13/04/2022,"Old bund garden, Yerwada",0,0,0,Negative
713,13/04/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
714,13/04/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
715,15/04/2022,"Rahatani, New DP road",0,0,0,Negative
716,15/04/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
717,15/04/2022,"Wolf Colony, Pimpri",0,0,0,Negative
718,15/04/2022,"Dapodi, Sai service",0,0,0,Negative
719,15/04/2022,Dapodi Harris Bridge,0,0,0,Negative
720,18/04/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
721,18/04/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
722,18/04/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
723,18/04/2022,Kothrud Karve road,0,0,0,Negative
724,18/04/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
725,18/04/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
726,19/04/2022,"Mahalunge Road, Baner",0,0,0,Negative
727,19/04/2022,"Balewadi Phata, Baner",0,0,0,Negative
728,19/04/2022,Aundh,0,0,0,Negative
729,19/04/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
730,19/04/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
731,20/04/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
732,20/04/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
733,20/04/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
